,City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
0,Port Hardy,CA,1570399836,50.7,-127.42,90,93,50.0,8.05
1,Marsabit,KE,1570399871,2.34,37.99,57,47,83.54,13.0
2,Chapais,CA,1570399634,49.78,-74.86,90,93,48.2,17.22
3,Kapaa,US,1570399596,22.08,-159.32,1,69,82.4,9.17
4,Srednekolymsk,RU,1570399873,67.46,153.71,0,87,11.51,5.84
5,Sao Joao da Barra,BR,1570399849,-21.64,-41.05,40,83,75.2,18.34
6,Estelle,FR,1570399877,43.97,3.47,0,52,66.0,25.28
7,Rikitea,PF,1570399738,-23.12,-134.97,100,88,73.41,8.68
8,Tshikapa,CD,1570399880,-6.42,20.79,37,81,72.78,1.95
9,Jamestown,AU,1570399845,-33.21,138.6,100,92,52.87,6.67
10,Bathsheba,BB,1570399883,13.22,-59.52,75,70,86.0,16.11
11,Saint-Pierre,FR,1570399885,48.95,4.24,65,87,54.0,13.87
12,Barrow,AR,1570399765,-38.31,-60.23,100,45,67.02,13.6
13,Teya,MX,1570399887,21.05,-89.07,75,66,89.01,5.82
14,Port Elizabeth,US,1570399889,39.31,-74.98,90,68,73.4,8.05
15,Oranjestad,AW,1570399846,12.52,-70.03,20,66,87.8,20.8
16,Clyde River,CA,1570399892,70.47,-68.59,40,74,28.4,6.93
17,Ushuaia,AR,1570399893,-54.81,-68.31,100,94,33.67,8.46
18,Kalundborg,DK,1570399894,55.68,11.1,0,74,41.0,4.7
19,Mataura,NZ,1570399896,-46.19,168.86,84,82,51.01,4.0
20,Ixtapa,MX,1570399897,20.71,-105.21,75,75,89.6,9.17
21,East London,ZA,1570399898,-33.02,27.91,100,91,61.1,4.29
22,Tutoia,BR,1570399900,-2.76,-42.27,42,75,78.47,9.08
23,Yellowknife,CA,1570399706,62.45,-114.38,75,87,44.6,12.75
24,Avarua,CK,1570399902,-21.21,-159.78,100,53,71.6,8.05
25,Juanjui,PE,1570399904,-7.18,-76.73,76,48,84.57,3.65
26,Palana,RU,1570399905,59.08,159.95,100,96,34.73,48.14
27,Butaritari,KI,1570399766,3.07,172.79,10,66,84.64,4.94
28,Cape Town,ZA,1570399834,-33.93,18.42,75,82,62.01,6.93
29,New Norfolk,AU,1570399612,-42.78,147.06,40,58,54.0,8.05
